Finess;Raison sociale;Catégorie;Provenance ;Nb de transferts
710978248;CH AUTUN SITE LATOUCHE;CH;CH AUTUN SITE PARPAS;155
580780187;CLINIQUE DU MORVAN SA;Privé;CH AUTUN SITE PARPAS;48
580780187;CLINIQUE DU MORVAN SA;Privé;CH DECIZE;34
580780187;CLINIQUE DU MORVAN SA;Privé;HÔPITAL PIERRE BEREGOVOY;16
710002288;SSR MARGUERITE BOUCICAUT;Privé;CH AUTUN SITE PARPAS;21
710002288;SSR MARGUERITE BOUCICAUT;Privé;CH WILLIAM MOREY CHALON SUR SAONE;301
710002288;SSR MARGUERITE BOUCICAUT;Privé;CH JEAN BOUVERI;31
710002288;SSR MARGUERITE BOUCICAUT;Privé;CHRU LE BOCAGE DIJON ;77
710002288;SSR MARGUERITE BOUCICAUT;Privé;CH LES CHANAUX MACON;13
710978263;CH WILLIAM MOREY CHALON SUR SAONE;CH;CH WILLIAM MOREY CHALON SUR SAONE;357
710781824;CENTRE ORTHOPEDIQUE MEDICO-CHIR;Privé;CH WILLIAM MOREY CHALON SUR SAONE;327
710002569;CENTRE SSR DU CHALONNAIS;Privé;CH WILLIAM MOREY CHALON SUR SAONE;171
710002569;CENTRE SSR DU CHALONNAIS;Privé;CHRU LE BOCAGE DIJON ;24
710002569;CENTRE SSR DU CHALONNAIS;Privé;CH LES CHANAUX MACON;13
710002569;CENTRE SSR DU CHALONNAIS;Privé;CH DU PAYS CHAROLAIS BRIONNAIS;17
710780917;HÔPITAL PRIVÉ SAINTE MARIE;Privé;CH WILLIAM MOREY CHALON SUR SAONE;66
710978156;CH BRESSE LOUHANNAISE;CH;CH WILLIAM MOREY CHALON SUR SAONE;62
710978156;CH BRESSE LOUHANNAISE;CH;CH BRESSE LOUHANNAISE;96
710977307;KORIAN LA BRESSANE;Privé;CH WILLIAM MOREY CHALON SUR SAONE;60
710977307;KORIAN LA BRESSANE;Privé;CH LES CHANAUX MACON;18
710978313;CH JEAN BOUVERI;CH;CH WILLIAM MOREY CHALON SUR SAONE;59
710978313;CH JEAN BOUVERI;CH;CH JEAN BOUVERI;374
710978313;CH JEAN BOUVERI;CH;CH DU PAYS CHAROLAIS BRIONNAIS;25
710978206;CH DE LA GUICHE;CH;CH WILLIAM MOREY CHALON SUR SAONE;45
710978206;CH DE LA GUICHE;CH;CH JEAN BOUVERI;112
710978206;CH DE LA GUICHE;CH;CH LES CHANAUX MACON;32
710978206;CH DE LA GUICHE;CH;CH DU PAYS CHAROLAIS BRIONNAIS;28
710978180;CH BELNAY;CH;CH WILLIAM MOREY CHALON SUR SAONE;44
710978180;CH BELNAY;CH;CH LES CHANAUX MACON;102
710978180;CH BELNAY;CH;CH BELNAY;125
710978214;CH LES MARRONNIERS;CH;CH WILLIAM MOREY CHALON SUR SAONE;16
710978214;CH LES MARRONNIERS;CH;CH JEAN BOUVERI;28
710978214;CH LES MARRONNIERS;CH;CH DU PAYS CHAROLAIS BRIONNAIS;41
710781535;CRF LE BOURBONNAIS;PSPH/EBNL;CH WILLIAM MOREY CHALON SUR SAONE;17
710781535;CRF LE BOURBONNAIS;PSPH/EBNL;CH DU PAYS CHAROLAIS BRIONNAIS;61
710781535;CRF LE BOURBONNAIS;PSPH/EBNL;CH DECIZE;14
890000300;AIHP CENTRE ARMANCON;PSPH/EBNL;CHS AUXERRE;30
210010443;CSSR LE RENOUVEAU;Privé;CHS AUXERRE;13
210010443;CSSR LE RENOUVEAU;Privé;CH LA CHARTREUSE ;12
890975527;CH AUXERRE;CH;CH AUXERRE;587
890000318;ÉTABLISSEMENT SOINS DE SUITE LE PETIT PIEN;Privé;CH AUXERRE;440
890000318;ÉTABLISSEMENT SOINS DE SUITE LE PETIT PIEN;Privé;CHRU LE BOCAGE DIJON ;31
890000318;ÉTABLISSEMENT SOINS DE SUITE LE PETIT PIEN;Privé;CH SENS ;40
890000318;ÉTABLISSEMENT SOINS DE SUITE LE PETIT PIEN;Privé;CH JOIGNY ;96
580971349;LE RECONFORT;Privé;CH AUXERRE;76
580971349;LE RECONFORT;Privé;CH AVALLON ;14
580971349;LE RECONFORT;Privé;CH CLAMECY ;142
580971349;LE RECONFORT;Privé;HÔPITAL PIERRE BEREGOVOY;65
890975568;CH DU TONNERROIS;CH;CH AUXERRE;56
890975568;CH DU TONNERROIS;CH;CH DU TONNERROIS;127
890975568;CH DU TONNERROIS;CH;CHRU LE BOCAGE DIJON ;25
890975568;CH DU TONNERROIS;CH;CH SENS ;18
890000250;CROIX ROUGE FRANCAISE MIGENNES;PSPH/EBNL;CH AUXERRE;42
890000250;CROIX ROUGE FRANCAISE MIGENNES;PSPH/EBNL;CH SENS ;94
890000250;CROIX ROUGE FRANCAISE MIGENNES;PSPH/EBNL;CH JOIGNY ;32
890002389;POLYCLINIQUE STE MARGUERITE;Privé;CH AUXERRE;33
580972008;CRF PASORI;Privé;CH AUXERRE;16
580972008;CRF PASORI;Privé;CHRU LE BOCAGE DIJON ;22
580972008;CRF PASORI;Privé;CH COSNE COURS SUR LOIRE;20
580972008;CRF PASORI;Privé;HÔPITAL PIERRE BEREGOVOY;109
580780203;CENTRE MÉDICAL DE LA VENERIE;Privé;CH AUXERRE;11
580780203;CENTRE MÉDICAL DE LA VENERIE;Privé;CH CLAMECY ;49
580780203;CENTRE MÉDICAL DE LA VENERIE;Privé;CHRU LE BOCAGE DIJON ;13
580780203;CENTRE MÉDICAL DE LA VENERIE;Privé;CH DECIZE;23
580780203;CENTRE MÉDICAL DE LA VENERIE;Privé;HÔPITAL PIERRE BEREGOVOY;232
580780203;CENTRE MÉDICAL DE LA VENERIE;Privé;CENTRE COLBERT MEDECINE ET SSR ;15
580972610;HL LES CYGNES LORMES;CH;CH AVALLON ;15
580972610;HL LES CYGNES LORMES;CH;CH CLAMECY ;18
580972610;HL LES CYGNES LORMES;CH;HL LES CYGNES LORMES;30
580972610;HL LES CYGNES LORMES;CH;HÔPITAL PIERRE BEREGOVOY;36
890975535;CH AVALLON;CH;CH AUXERRE;41
890975535;CH AVALLON;CH;CH AVALLON;169
890975535;CH AVALLON;CH;CHRU LE BOCAGE DIJON ;12
890975535;CH AVALLON;CH;CH ROBERT MORLEVAT;24
210986089;CH REG UNIVERSITAIRE DIJ;CHR/U;CH REG UNIVERSITAIRE DIJ;439
210986089;CH REG UNIVERSITAIRE DIJ;CHR/U;CHRU LE BOCAGE DIJON ;50
210780276;SSR EDITH CAVELL;Privé;CH REG UNIVERSITAIRE DIJ;111
210780276;SSR EDITH CAVELL;Privé;CHRU LE BOCAGE DIJON ;301
210987046;CENTRE DE CONVALESCENCE;Privé;CH REG UNIVERSITAIRE DIJ;64
