Etablissement SSR ;Adresse;Latitude ;Longitude
AIHP CENTRE ARMANCON;18 Bis Rue Pierre Semard;47,95981;3,53041
C.R.B LES ROSIERS ;45 Bd Henri Bazin;47,30041;5,019
CENTRE COLBERT MEDECINE ET SSR;4 Rue Étienne Litaud;46,99469;3,1597
CENTRE DE CONVALESCENCE ;67 Rte d'Ahuy;47,34583;5,03471
CENTRE MÉDICAL DE LA VENERIE;Lieu Dit La Vénerie;47,2668;3,2896
CENTRE MEDICAL LA GRANGE/MONT;LA GRANGE SUR LE MONT;46,88245;5,90705
CENTRE ORTHOPEDIQUE MEDICO-CHIR; 2 Rue du Pressoir;46,7976;4,78136
CENTRE SSR DU CHALONNAIS ;2 Rue du Treffort;46,79634;4,80642
CH ALIGRE BOURBON LANCY;All. d'Aligre;46,61931;3,76742
CH AUTUN SITE LATOUCHE;9 Bd Frédéric Latouche;46,95226;4,30256
CH AUTUN SITE PARPAS;7 Bis rue Parpas;46,95122;4,29353
CH AUXERRE;2 Bd de Verdun;47,80437;3,55632
CH AVALLON ;1 Rue de l'Hôpital;47,48985;3,90523
CH BELNAY;627 Av. Henri et Suzanne Vitrier;46,56733;4,89305
CH BRESSE LOUHANNAISE;350 Av. Fernand Point;46,62312;5,23048
CH CHATEAU-CHINON;42 Rue Jean Marie Thévenin;47,06048;3,93534
CH Clamecy ;41 Rue Henri Barbusse;47,45316;3,50928
CH COSNE COURS SUR LOIRE;96 Rue du Maréchal Leclerc;47,41553;2,92633
CH D'AUXONNE ;5, rue du château;47,19192;5,3848
CH D'IS-SUR-TILLE;21 Rue Victor Hugo BP 20;47,51951;5,10678
CH DE BEAUJEU;263 Av. Dr Giraud;46,15278;4,58911
CH DE CHAUMONT;2 Rue Jeanne d'Arc;48,12067;5,14102
CH DE LA GUICHE;Le Rompoix;46,54365;4,44289
CH DE LANGRES;10 Rue de la Charité;47,86633;5,33668
CH DE PONT DE VAUX;Chem. des Nivres;46,43463;4,94457
CH DECIZE;74 Rte de Moulins;46,82246;3,45273
CH DU CLUNISOIS;13 Pl. de L Hôpital;46,43059;4,66074
