GHT;Code;Groupe Plannification;Nb séjour / Séances;Nb de jours;/;/2;/ ;Transferts SSR (Nombre de séjours chainés et tranférés vers un établissement SSR) ;Pourcentage 
GHT SÂONE-ET-LOIRE BRESSE MORVAN;X03;Neurologie ;2828;17255;;;;394;0,139321075
GHT SÂONE-ET-LOIRE BRESSE MORVAN;X08;Pneumologie ;4237;31189;;;;391;0,092282275
GHT SÂONE-ET-LOIRE BRESSE MORVAN;C09;"Chir. majeure de l'app. Locomoteur:
 hanche, fémur, genou, épaule";637;4825;;;;272;0,42700157
GHT SÂONE-ET-LOIRE BRESSE MORVAN;X07;Affections Cardio-vasculaires ;3266;18585;;;;196;0,060012247
GHT SÂONE-ET-LOIRE BRESSE MORVAN;X06;Rhumatologie ;1279;9071;;;;140;0,109460516
GHT SÂONE-ET-LOIRE BRESSE MORVAN;X05;"
Traumatologie et ablation de matériel de l'appareil locomoteur";784;3208;;;;128;0,163265306
GHT SÂONE-ET-LOIRE BRESSE MORVAN;X02;Hépato-Gastro-Entérologie ;3457;16128;;;;107;0,030951692
GHT SÂONE-ET-LOIRE BRESSE MORVAN;X12;Uro-Néphrologie médicale (hors Séances);1377;6840;;;;96;0,069716776
GHT SÂONE-ET-LOIRE BRESSE MORVAN;X20;Psychiatrie ;1775;9080;;;;94;0,052957746
GHT SÂONE-ET-LOIRE BRESSE MORVAN;C11;"Chirurgies autres de l'appareil locomoteur, 
amputations";964;4208;;;;82;0,085062241
GHT SÂONE-ET-LOIRE BRESSE MORVAN;X16;Affections et traumatismes de la peau, gelures;1255;5508;;;;63 à 83;5% - 7% 
GHT SÂONE-ET-LOIRE BRESSE MORVAN;X21;Effets nocifs, alcool, toxicologie, allergies;1328;5933;;;;49 à 69;3% - 5% 
GHT SÂONE-ET-LOIRE BRESSE MORVAN;X14;"Maladies immunitaires, du Sang, des Organes 
hématopoïétiques, Tumeurs SID";1007;5957;;;;49 à 59 ;5% - 6% 
