Nom_GHT;Etablissement;Rang;Code;Groupe Plannification;Nb séjour / Séances;Nb de jours;Age moyen;% Age>75;% lourd;Transferts SSR (Nombre de séjours chainés et tranférés vers un établissement SSR) ;Etablissement SSR de transfert ;Catégorie ;Nb de transferts;is_in_GHT;transfer_interne
GHT SaôneEtLoire Bresse Morvan ;CH AUTUN SITE PARPAS;1;X08;Pneumologie;703;4895;69.1;52.2;31.01;56;CH AUTUN SITE LATOUCHE;CH;30;1;1
GHT SaôneEtLoire Bresse Morvan ;CH AUTUN SITE PARPAS;1;X08;Pneumologie;703;4895;69.1;52.2;31.01;56;Autres ES Effectif<11;;26;1;1
GHT SaôneEtLoire Bresse Morvan ;CH AUTUN SITE PARPAS;4;X03;Neurologie médicale;359;1880;71.0;52.1;13.65;44;CH AUTUN SITE LATOUCHE;CH;30;1;1
GHT SaôneEtLoire Bresse Morvan ;CH AUTUN SITE PARPAS;4;X03;Neurologie médicale;359;1880;71.0;52.1;13.65;44;Autres ES Effectif<11;;14;1;1
GHT SaôneEtLoire Bresse Morvan ;CH AUTUN SITE PARPAS;3;X07;Affections Cardio-vasculaires;488;2469;75.9;62.5;26.43;26;CH AUTUN SITE LATOUCHE;CH;16;1;1
GHT SaôneEtLoire Bresse Morvan ;CH AUTUN SITE PARPAS;3;X07;Affections Cardio-vasculaires;488;2469;75.9;62.5;26.43;26;Autres ES Effectif<11;;0 à 10 (10);1;1
GHT SaôneEtLoire Bresse Morvan ;CH AUTUN SITE PARPAS;12;X05;Traumatologie et ablation de matériel de l'appareil locomoteur;165;608;71.7;57.0;16.97;19;Autres ES Effectif<11;;19;1;1
GHT SaôneEtLoire Bresse Morvan ;CH AUTUN SITE PARPAS;15;X06;Rhumatologie;113;931;71.8;55.8;40.71;18;CH AUTUN SITE LATOUCHE;CH;12;1;1
GHT SaôneEtLoire Bresse Morvan ;CH AUTUN SITE PARPAS;15;X06;Rhumatologie;113;931;71.8;55.8;40.71;18;Autres ES Effectif<11;;0 à 10 (6);1;1
GHT SaôneEtLoire Bresse Morvan ;CH AUTUN SITE PARPAS;2;X02;Hépato-Gastro-Entérologie;564;2461;61.8;39.0;13.65;17;Autres ES Effectif<11;;17;1;1
GHT SaôneEtLoire Bresse Morvan ;CH AUTUN SITE PARPAS;8;X20;Psychiatrie;201;672;69.6;56.7;14.43;16;Autres ES Effectif<11;;16;1;1
GHT SaôneEtLoire Bresse Morvan ;CH AUTUN SITE PARPAS;5;N02;Aff. médicales des nouveau-nés, prématurés et de la période périnatale;257;912;0.0;0.0;0.00;0 à 10;;;;1;1
GHT SaôneEtLoire Bresse Morvan ;CH AUTUN SITE PARPAS;6;O01;Accouchements par voie basse;215;791;29.4;0.0;0.93;0 à 10;;;;1;1
GHT SaôneEtLoire Bresse Morvan ;CH AUTUN SITE PARPAS;7;S05;Transfusion;206;0;78.0;70.4;0.00;NA;;;;1;1
GHT SaôneEtLoire Bresse Morvan ;CH AUTUN SITE PARPAS;9;X16;Affections et traumatismes de la peau, gelures;183;644;63.0;44.3;19.13;0 à 10;;;;1;1
GHT SaôneEtLoire Bresse Morvan ;CH AUTUN SITE PARPAS;10;X12;Uro-Néphrologie médicale (hors Séances);174;708;68.3;47.7;21.26;0 à 10;;;;1;1
GHT SaôneEtLoire Bresse Morvan ;CH AUTUN SITE PARPAS;11;K02;Endoscopies digestives et biliaires avec ou sans anesthésie;172;7;60.5;8.7;0.00;0 à 10;;;;1;1
