Etablissement SSR ;Catégorie ;Code ;Groupe planification ;Provenance ;Effectif 
CH AUTUN SITE LATOUCHE;CH;X08;Pneumologie ;CH AUTUN SITE PARPAS;30
CH AUTUN SITE LATOUCHE;CH;X03;Neurologie médicale;CH AUTUN SITE PARPAS;30
CH AUTUN SITE LATOUCHE;CH;X07;Affections Cardio-vasculaires ;CH AUTUN SITE PARPAS;16
CH AUTUN SITE LATOUCHE;CH;X06;Rhumatologie ;CH AUTUN SITE PARPAS;12
CENTRE ORTHOPEDIQUE MEDICO-CHIR;Privé;C09;"Chir. majeure de l'app. Locomoteur:
 hanche, fémur, genou, épaule";CH WILLIAM MOREY CHALON SUR SAONE;78
CENTRE ORTHOPEDIQUE MEDICO-CHIR;Privé;X03;Neurologie médicale;CH WILLIAM MOREY CHALON SUR SAONE;32
CENTRE ORTHOPEDIQUE MEDICO-CHIR;Privé;X08;Pneumologie ;CH WILLIAM MOREY CHALON SUR SAONE;22
CENTRE ORTHOPEDIQUE MEDICO-CHIR;Privé;X07;Affections Cardio-vasculaires ;CH WILLIAM MOREY CHALON SUR SAONE;24
CENTRE ORTHOPEDIQUE MEDICO-CHIR;Privé;C11;"Chirurgies autres de l'appareil locomoteur, 
amputations";CH WILLIAM MOREY CHALON SUR SAONE;20
CENTRE ORTHOPEDIQUE MEDICO-CHIR;Privé;X06;Rhumatologie ;CH WILLIAM MOREY CHALON SUR SAONE;20
CENTRE ORTHOPEDIQUE MEDICO-CHIR;Privé;X05;"
Traumatologie et ablation de matériel de l'appareil locomoteur";CH WILLIAM MOREY CHALON SUR SAONE;33
CENTRE ORTHOPEDIQUE MEDICO-CHIR;Privé;X02;Hépato-Gastro-Entérologie ;CH WILLIAM MOREY CHALON SUR SAONE;22
CENTRE ORTHOPEDIQUE MEDICO-CHIR;Privé;X12;Uro-Néphrologie médicale (hors Séances);CH WILLIAM MOREY CHALON SUR SAONE;11
CENTRE ORTHOPEDIQUE MEDICO-CHIR;Privé;C09 ;"Chir. majeure de l'app. Locomoteur:
 hanche, fémur, genou, épaule";CENTRE ORTHOPEDIQUE MEDICO-CHIR;376
CENTRE ORTHOPEDIQUE MEDICO-CHIR;Privé;C10 ;Arthroscopies, Biopsies ostéo-articulaires;CENTRE ORTHOPEDIQUE MEDICO-CHIR;69
CENTRE ORTHOPEDIQUE MEDICO-CHIR;Privé;C11;Chirurgies autres de l'appareil locomoteur, amputations;CENTRE ORTHOPEDIQUE MEDICO-CHIR;33
CENTRE ORTHOPEDIQUE MEDICO-CHIR;Privé;X06;Rhumatologie;CENTRE ORTHOPEDIQUE MEDICO-CHIR;11
CH WILLIAM MOREY CHALON SUR SAONE;CH;C09;"Chir. majeure de l'app. Locomoteur:
 hanche, fémur, genou, épaule";CH WILLIAM MOREY CHALON SUR SAONE;49
CH WILLIAM MOREY CHALON SUR SAONE;CH;X03;Neurologie médicale;CH WILLIAM MOREY CHALON SUR SAONE;28
CH WILLIAM MOREY CHALON SUR SAONE;CH;X08;Pneumologie ;CH WILLIAM MOREY CHALON SUR SAONE;85
