,etablissement,categorie,code,specialite,provenance,effectif_transfert
0,CH AUTUN SITE LATOUCHE,CH,X08,Pneumologie ,CH AUTUN SITE PARPAS,30
1,CH AUTUN SITE LATOUCHE,CH,X03,Neurologie médicale,CH AUTUN SITE PARPAS,30
2,CH AUTUN SITE LATOUCHE,CH,X07,Affections Cardio-vasculaires ,CH AUTUN SITE PARPAS,16
3,CH AUTUN SITE LATOUCHE,CH,X06,Rhumatologie ,CH AUTUN SITE PARPAS,12
4,CENTRE ORTHOPEDIQUE MEDICO-CHIR,Privé,C09,"Chir. majeure de l'app. Locomoteur:
 hanche, fémur, genou, épaule",CH WILLIAM MOREY CHALON SUR SAONE,78
5,CENTRE ORTHOPEDIQUE MEDICO-CHIR,Privé,X03,Neurologie médicale,CH WILLIAM MOREY CHALON SUR SAONE,32
6,CENTRE ORTHOPEDIQUE MEDICO-CHIR,Privé,X08,Pneumologie ,CH WILLIAM MOREY CHALON SUR SAONE,22
7,CENTRE ORTHOPEDIQUE MEDICO-CHIR,Privé,X07,Affections Cardio-vasculaires ,CH WILLIAM MOREY CHALON SUR SAONE,24
8,CENTRE ORTHOPEDIQUE MEDICO-CHIR,Privé,C11,"Chirurgies autres de l'appareil locomoteur, 
amputations",CH WILLIAM MOREY CHALON SUR SAONE,20
9,CENTRE ORTHOPEDIQUE MEDICO-CHIR,Privé,X06,Rhumatologie ,CH WILLIAM MOREY CHALON SUR SAONE,20
10,CENTRE ORTHOPEDIQUE MEDICO-CHIR,Privé,X05,"
Traumatologie et ablation de matériel de l'appareil locomoteur",CH WILLIAM MOREY CHALON SUR SAONE,33
11,CENTRE ORTHOPEDIQUE MEDICO-CHIR,Privé,X02,Hépato-Gastro-Entérologie ,CH WILLIAM MOREY CHALON SUR SAONE,22
12,CENTRE ORTHOPEDIQUE MEDICO-CHIR,Privé,X12,Uro-Néphrologie médicale (hors Séances),CH WILLIAM MOREY CHALON SUR SAONE,11
13,CENTRE ORTHOPEDIQUE MEDICO-CHIR,Privé,C09 ,"Chir. majeure de l'app. Locomoteur:
 hanche, fémur, genou, épaule",CENTRE ORTHOPEDIQUE MEDICO-CHIR,376
14,CENTRE ORTHOPEDIQUE MEDICO-CHIR,Privé,C10 ,"Arthroscopies, Biopsies ostéo-articulaires",CENTRE ORTHOPEDIQUE MEDICO-CHIR,69
15,CENTRE ORTHOPEDIQUE MEDICO-CHIR,Privé,C11,"Chirurgies autres de l'appareil locomoteur, amputations",CENTRE ORTHOPEDIQUE MEDICO-CHIR,33
16,CENTRE ORTHOPEDIQUE MEDICO-CHIR,Privé,X06,Rhumatologie,CENTRE ORTHOPEDIQUE MEDICO-CHIR,11
17,CH WILLIAM MOREY CHALON SUR SAONE,CH,C09,"Chir. majeure de l'app. Locomoteur:
 hanche, fémur, genou, épaule",CH WILLIAM MOREY CHALON SUR SAONE,49
18,CH WILLIAM MOREY CHALON SUR SAONE,CH,X03,Neurologie médicale,CH WILLIAM MOREY CHALON SUR SAONE,28
19,CH WILLIAM MOREY CHALON SUR SAONE,CH,X08,Pneumologie ,CH WILLIAM MOREY CHALON SUR SAONE,85
20,CH WILLIAM MOREY CHALON SUR SAONE,CH,X07,Affections Cardio-vasculaires ,CH WILLIAM MOREY CHALON SUR SAONE,26
21,CH WILLIAM MOREY CHALON SUR SAONE,CH,C11,"Chirurgies autres de l'appareil locomoteur, 
amputations",CH WILLIAM MOREY CHALON SUR SAONE,14
22,CH WILLIAM MOREY CHALON SUR SAONE,CH,X06,Rhumatologie ,CH WILLIAM MOREY CHALON SUR SAONE,31
23,CH WILLIAM MOREY CHALON SUR SAONE,CH,X05,"
Traumatologie et ablation de matériel de l'appareil locomoteur",CH WILLIAM MOREY CHALON SUR SAONE,33
24,CH WILLIAM MOREY CHALON SUR SAONE,CH,X12,Uro-Néphrologie médicale (hors Séances),CH WILLIAM MOREY CHALON SUR SAONE,15
25,CH WILLIAM MOREY CHALON SUR SAONE,CH,X20 ,Psychiatrie ,CH WILLIAM MOREY CHALON SUR SAONE,17
26,CH WILLIAM MOREY CHALON SUR SAONE,CH,X19,"Fièvre, Infection, Septicémie, VIH",CH WILLIAM MOREY CHALON SUR SAONE,15
27,CENTRE SSR DU CHALONNAIS,Privé ,C09,"Chir. majeure de l'app. Locomoteur:
 hanche, fémur, genou, épaule",CH WILLIAM MOREY CHALON SUR SAONE,35
28,CENTRE SSR DU CHALONNAIS,Privé ,X08,Pneumologie ,CH WILLIAM MOREY CHALON SUR SAONE,12
29,CENTRE SSR DU CHALONNAIS,Privé ,C11,"Chirurgies autres de l'appareil locomoteur, 
amputations",CH WILLIAM MOREY CHALON SUR SAONE,15
30,CENTRE SSR DU CHALONNAIS,Privé ,X02,Hépato-Gastro-Entérologie ,CH WILLIAM MOREY CHALON SUR SAONE,11
31,CENTRE SSR DU CHALONNAIS,Privé ,C07,"Chir. Viscérale autre : rate, grêle, colon,
 proctologie, hernies",CH WILLIAM MOREY CHALON SUR SAONE,25
32,CENTRE SSR DU CHALONNAIS,Privé ,C06,"Chir. Digestive majeure : oesophage, 
estomac, grêle, côlon, rectum",CH WILLIAM MOREY CHALON SUR SAONE,12
33,CENTRE SSR DU CHALONNAIS,Privé ,C07,Chir. Viscérale,CH DU PAYS CHAROLAIS BRIONNAIS,24
34,CENTRE SSR DU CHALONNAIS,Privé ,C07,"Chir. Viscérale autre : rate, grêle, colon, proctologie, hernies",HOPITAL PRIVE DIJON BOURGOGNE,25
35,KORIAN LA BRESSANE,Privé ,C09,"Chir. majeure de l'app. Locomoteur:
 hanche, fémur, genou, épaule",CH WILLIAM MOREY CHALON SUR SAONE,25
36,KORIAN LA BRESSANE,Privé ,X05,"
Traumatologie et ablation de matériel de l'appareil locomoteur",CH WILLIAM MOREY CHALON SUR SAONE,12
37,CH JEAN BOUVERI,CH,C09,"Chir. majeure de l'app. Locomoteur:
 hanche, fémur, genou, épaule",CH WILLIAM MOREY CHALON SUR SAONE,18
38,CH JEAN BOUVERI,CH,X08,Pneumologie ,CH JEAN BOUVERI,44
39,CH JEAN BOUVERI,CH,X03,Neurologie médicale,CH JEAN BOUVERI,46
40,CH JEAN BOUVERI,CH,X07,Affections Cardio-vasculaires ,CH JEAN BOUVERI,42
41,CH JEAN BOUVERI,CH,X06,Rhumatologie ,CH JEAN BOUVERI,31
42,CH JEAN BOUVERI,CH,X20 ,Psychiatrie ,CH JEAN BOUVERI,25
43,CH JEAN BOUVERI,CH,X21,"Effets nocifs, alcool, toxicologie, allergies",CH JEAN BOUVERI,31
44,CH JEAN BOUVERI,CH,X05,"
Traumatologie et ablation de matériel de l'appareil locomoteur",CH JEAN BOUVERI,24
45,CH JEAN BOUVERI,CH,X16,"Affections et traumatismes de la peau, gelures",CH JEAN BOUVERI,24
46,CH JEAN BOUVERI,CH,X02,Hépato-Gastro-Entérologie ,CH JEAN BOUVERI,22
47,CH JEAN BOUVERI,CH,X12,Uro-Néphrologie médicale (hors Séances),CH JEAN BOUVERI,15
48,CH JEAN BOUVERI,CH,X18,"Suivi thérap. d'affections connues, Allergologie,
 Rééducation, Convalescence",CH JEAN BOUVERI,16
49,CH JEAN BOUVERI,CH,C09 ,"Chir. majeure de l'app. Locomoteur:
 hanche, fémur, genou, épaule",HOTEL-DIEU DU CREUSOT,21
50,CH BELNAY,CH,C09,"Chir. majeure de l'app. Locomoteur:
 hanche, fémur, genou, épaule",CH WILLIAM MOREY CHALON SUR SAONE,13
51,CH BELNAY,CH,C09,"Chir. majeure de l'app. Locomoteur:
 hanche, fémur, genou, épaule",CH LES CHANAUX MACON,20
52,CH BELNAY,CH,X07,Affections Cardio-vasculaires,CH LES CHANAUX MACON,11
53,CH BELNAY,CH,X20 ,Psychiatrie ,CH BELNAY,25
54,CH BELNAY,CH,X08,Pneumologie ,CH BELNAY,22
55,CH BELNAY,CH,X24,"Médecine inter spécialités, 
Autres symptômes ou motifs médicaux",CH BELNAY,19
56,SSR MARGUERITE BOUCICAUT,Privé ,X03,Neurologie médicale,CH WILLIAM MOREY CHALON SUR SAONE,133
57,SSR MARGUERITE BOUCICAUT,Privé ,X07,Affections Cardio-vasculaires ,CH WILLIAM MOREY CHALON SUR SAONE,26
